Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
1999-03-11 00:00:00-05:00,0.37383378153964586,0.5001123885925474,0.37383378153964586,0.46885544061660767,172512000,0.0,0.0,INFY
1999-03-12 00:00:00-05:00,0.4701059100830274,0.4876100061658405,0.43009689645893995,0.4663552939891815,39897600,0.0,0.0,INFY
1999-03-15 00:00:00-05:00,0.46760523873407583,0.46760523873407583,0.42134461358116604,0.4238450229167938,12672000,0.0,0.0,INFY
1999-03-16 00:00:00-05:00,0.4275963299958329,0.44259939939608256,0.42009449005126953,0.42009449005126953,9984000,0.0,0.0,INFY
1999-03-17 00:00:00-05:00,0.420094376547323,0.44760070858629003,0.4175939674043384,0.4225947856903076,15449600,0.0,0.0,INFY
1999-03-18 00:00:00-05:00,0.4250957785088758,0.44384945638707485,0.41884414555702704,0.4300965964794159,8140800,0.0,0.0,INFY
1999-03-19 00:00:00-05:00,0.4350981699403963,0.4350981699403963,0.42009449005126953,0.42009449005126953,5747200,0.0,0.0,INFY
1999-03-22 00:00:00-05:00,0.420094376547323,0.4400988706686241,0.420094376547323,0.4225947856903076,6233600,0.0,0.0,INFY
1999-03-23 00:00:00-05:00,0.42259483351166754,0.42259483351166754,0.40321574472750676,0.4038405418395996,9977600,0.0,0.0,INFY
1999-03-24 00:00:00-05:00,0.408842024639625,0.41509365951069277,0.3988397751392331,0.4075918197631836,10969600,0.0,0.0,INFY
1999-03-25 00:00:00-05:00,0.41009212948667245,0.4238449902617999,0.4050913112007033,0.4225947856903076,4211200,0.0,0.0,INFY
1999-03-26 00:00:00-05:00,0.42759643738346753,0.4651050360374102,0.42759643738346753,0.45385196805000305,7443200,0.0,0.0,INFY
1999-03-29 00:00:00-05:00,0.4613538341736222,0.4613538341736222,0.4526017866608816,0.45885342359542847,4633600,0.0,0.0,INFY
1999-03-30 00:00:00-05:00,0.46072901251148257,0.4613538098785977,0.45260176282674236,0.45385196805000305,4044800,0.0,0.0,INFY
